system:index,Percent_NonTree_Vegetation,Percent_NonVegetated,Percent_Tree_Cover,canopy height,end,geometry,site,start,vegetation,year,.geo
2000_03_05_00000000000000000016_0,65,34,1,5.5m (Stevens et al. 2012),2009-06-09 10:30:00,"{""type"":""Point"",""coordinates"":[140.65512,-34.47035]}",Loxton,2008-08-19 17:00:00,Almond orchard,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05_00000000000000000025_0,20,0,80,55m,2021-09-21 12:00:00,"{""type"":""Point"",""coordinates"":[146.65452,-43.09502]}",Warra,2013-03-05 15:00:00,Eucalyptus obliqua tall forest,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05_00000000000000000001_0,58,33,9,6.5m,2025-01-28 10:00:00,"{""type"":""Point"",""coordinates"":[133.249,-22.282999999999998]}",AliceSpringsMulga,2010-09-03 00:00:00,Canopy + three types of understorey (vegetation1-4),2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05_00000000000000000022_0,58,33,9,6.5m,2022-01-17 23:30:00,"{""type"":""Point"",""coordinates"":[133.249,-22.282999999999998]}",TiTreeEast,2012-07-18 00:00:00,Canopy + three types of understorey (vegetation1-4),2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05_00000000000000000011_0,68,5,27,6.8m,2024-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[115.71377000000003,-31.376351000000007]}",Gingin,2011-10-13 14:00:00,Banksia woodland,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05_00000000000000000020_0,27,5,68,8m,2025-01-17 00:00:00,"{""type"":""Point"",""coordinates"":[148.43585,-36.375649]}",SnowGum,2023-12-27 15:30:00,Sub-alpine woodland,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05_0000000000000000001a_0,75,19,6,variable,2013-07-21 23:30:00,"{""type"":""Point"",""coordinates"":[132.477567,-14.563638999999997]}",RedDirtMelonFarm,2011-09-23 09:00:00,Woody savannah then cleared,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_06_0000000000000000000b_0,87,4,9,+6m,2021-07-07 12:00:00,"{""type"":""Point"",""coordinates"":[141.616472,-37.882694]}",DigbyPlantation,2018-01-01 00:30:00,Eucalyptus globulus (blue gum),2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_06_00000000000000000010_0,73,0,27,0.05m,2021-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[141.960897,-37.390033]}",GatumPasture,2015-02-09 00:30:00,Phalaris and Subterranean Clover,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_06_00000000000000000019_0,51,1,48,0.1 m,2011-01-01 00:00:00,"{""type"":""Point"",""coordinates"":[142.81,-38.525000000000006]}",Otway,2007-08-11 00:00:00,"Pasture, grazed",2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
