system:index,Percent_NonTree_Vegetation,Percent_NonVegetated,Percent_Tree_Cover,canopy height,end,geometry,site,start,vegetation,year,.geo
2013_03_06_0000000000000000000b_0,29,1,70,+6m,2021-07-07 12:00:00,"{""type"":""Point"",""coordinates"":[141.616472,-37.882694]}",DigbyPlantation,2018-01-01 00:30:00,Eucalyptus globulus (blue gum),2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_00000000000000000010_0,91,0,9,0.05m,2021-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[141.960897,-37.390033]}",GatumPasture,2015-02-09 00:30:00,Phalaris and Subterranean Clover,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_00000000000000000019_0,57,0,43,0.1 m,2011-01-01 00:00:00,"{""type"":""Point"",""coordinates"":[142.81,-38.525000000000006]}",Otway,2007-08-11 00:00:00,"Pasture, grazed",2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_0000000000000000000c_0,88,2,10,0.15m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[132.3706,-15.258800000000006]}",DryRiver,2009-10-25 15:00:00,Woodland savanna,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_0000000000000000001f_0,69,5,26,0.1m,2024-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[147.0875,-42.09055600000001]}",SilverPlains,2019-12-05 10:00:00,Species rich highland grassland/sedgeland,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_0000000000000000000d_0,67,26,7,0.2-0.6m,2013-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[148.4746,-23.85872]}",Emerald,2011-06-10 00:30:00,Mallee and crop,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_00000000000000000002_0,72,8,20,0.3m,2022-06-20 23:30:00,"{""type"":""Point"",""coordinates"":[147.32083300000002,-36.862222]}",AlpinePeatland,2017-04-12 18:30:00,,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_0000000000000000001c_0,92,3,5,0.4m,2017-07-12 17:30:00,"{""type"":""Point"",""coordinates"":[145.576,-36.656]}",RiggsCreek,2011-01-01 00:30:00,Pasture,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_0000000000000000002a_0,80,9,11,0.5 m,2025-01-01 00:00:00,"{""type"":""Point"",""coordinates"":[150.734864,-33.613469]}",YarramundiControl,2019-10-22 15:30:00,"pasture, unirrigated",2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_0000000000000000002b_0,79,9,12,0.5 m,2024-12-29 12:00:00,"{""type"":""Point"",""coordinates"":[150.763284,-33.620812]}",YarramundiIrrigated,2019-10-15 09:30:00,"pasture, irrigated",2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_00000000000000000029_0,67,27,6,0.50,2025-01-28 03:00:00,"{""type"":""Point"",""coordinates"":[146.2908,-34.9878]}",Yanco,2012-10-24 14:00:00,Pasture,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_00000000000000000015_0,50,49,1,0.50m,2024-07-01 00:00:00,"{""type"":""Point"",""coordinates"":[144.31041571964502,-23.52326576449729]}",LongreachMitchellGrassRangeland,2018-10-09 12:00:00,Mitchell Grass,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_00000000000000000009_0,84,3,13,0.5m,2013-09-08 13:30:00,"{""type"":""Point"",""coordinates"":[131.3181,-14.063299999999998]}",DalyPasture,2008-01-01 00:00:00,Tropical improved pasture,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_0000000000000000000f_0,79,10,11,0.5m,2008-10-31 17:30:00,"{""type"":""Point"",""coordinates"":[131.3072,-12.5452]}",FoggDam,2006-02-07 00:00:00,Ephemeral tropical wetland,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_00000000000000000017_0,70,19,11,0.5m,2025-01-17 00:00:00,"{""type"":""Point"",""coordinates"":[150.02,-30.543000000000006]}",MyallValeA,2023-11-29 10:00:00,,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_00000000000000000018_0,71,14,15,0.5m,2025-01-17 00:00:00,"{""type"":""Point"",""coordinates"":[150.09,-30.697000000000006]}",MyallValeB,2023-11-28 13:30:00,,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_0000000000000000001e_0,70,11,19,0.5m,2017-12-31 14:30:00,"{""type"":""Point"",""coordinates"":[152.87778,-27.388059999999996]}",SamfordEcologicalResearchFacility,2010-06-02 12:00:00,pasture,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_00000000000000000021_0,59,39,2,0.5m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[133.3502,-17.1507]}",SturtPlains,2008-08-28 11:00:00,Mitchell Grasslands,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_00000000000000000026_0,87,8,5,0.5m,2025-01-17 00:00:00,"{""type"":""Point"",""coordinates"":[148.9843,-32.5727]}",Wellington,2023-09-27 12:30:00,Pasture,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_00000000000000000024_0,19,1,80,100m,2008-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[145.1878,-37.4259]}",WallabyCreek,2005-08-25 12:30:00,Mountain Ash,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_00000000000000000006_0,57,2,41,12.0m,2019-11-11 13:30:00,"{""type"":""Point"",""coordinates"":[116.237,-33.42]}",Collie,2017-08-04 00:30:00,Dry schlerophyll woodland,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_0000000000000000000e_0,68,26,6,12m,2025-01-17 00:00:00,"{""type"":""Point"",""coordinates"":[146.189138,-19.887285]}",Fletcherview,2022-01-22 22:00:00,Semi-arid savanna,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_00000000000000000003_0,58,4,38,13.0m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[116.93855900000003,-32.477093]}",Boyagin,2017-10-20 13:00:00,Dry schlerophyll woodland,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_00000000000000000000_0,76,12,12,16.4m,2009-05-24 06:00:00,"{""type"":""Point"",""coordinates"":[131.1178,-13.076900000000002]}",AdelaideRiver,2007-10-17 11:30:00,Woody Savanna,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_0000000000000000000a_0,67,23,10,16.4m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[131.3881,-14.159200000000002]}",DalyUncleared,2008-01-01 00:00:00,Woody Savanna,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_00000000000000000013_0,75,7,18,16m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[131.15005,-12.4952]}",HowardSprings,2002-01-01 06:00:00,Woody savanna,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_00000000000000000014_0,74,10,16,16m,2025-01-17 00:00:00,"{""type"":""Point"",""coordinates"":[130.7945459,-13.179041779999999]}",Litchfield,2015-06-23 13:00:00,Woody savanna,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_00000000000000000012_0,63,29,8,18,2024-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[120.65416666666667,-30.191400000000005]}",GreatWesternWoodlands,2013-01-01 15:30:00,sparse eucalypt woodland,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_0000000000000000001b_0,93,6,1,1m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[116.966827,-32.506102]}",Ridgefield,2015-03-29 05:00:00,Wheat,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_00000000000000000028_0,22,1,77,23 m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[144.094046,-37.422506]}",WombatStateForest,2024-05-08 14:30:00,dry sclerophyll eucalypt forest,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_00000000000000000008_0,52,2,46,24 m,2025-01-01 00:00:00,"{""type"":""Point"",""coordinates"":[150.723611,-33.615278]}",CumberlandPlain,2014-01-01 00:30:00,Dry sclerophyll forest,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_00000000000000000005_0,21,3,76,25m,2018-11-02 12:00:00,"{""type"":""Point"",""coordinates"":[145.446922,-16.103219]}",CapeTribulation,2010-01-01 00:00:00,lowland complex mesophyll vine forest,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_00000000000000000007_0,27,5,68,26m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[145.42715,-16.238189000000002]}",CowBay,2009-01-01 09:00:00,lowland complex mesophyll vine forest,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_00000000000000000027_0,48,2,50,28.0m,2023-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[145.0294,-36.6732]}",Whroo,2011-12-01 13:30:00,Dry schlerophyll woodland,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_0000000000000000001d_0,17,4,79,28m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[145.6301375,-17.11746943]}",RobsonCreek,2013-08-01 17:30:00,"Regional Ecosystem (RE) 7.3.36a, complex mesophyll vine forest",2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_00000000000000000004_0,65,22,13,3m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[140.5877,-34.002700000000004]}",CalperumChowilla,2010-07-30 11:00:00,Mallee,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_00000000000000000023_0,19,0,81,40 m,2022-12-03 18:00:00,"{""type"":""Point"",""coordinates"":[148.1516,-35.6566]}",Tumbarumba,2002-01-07 16:00:00,wet sclerophyll forest,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_00000000000000000016_0,79,3,18,5.5m (Stevens et al. 2012),2009-06-09 10:30:00,"{""type"":""Point"",""coordinates"":[140.65512,-34.47035]}",Loxton,2008-08-19 17:00:00,Almond orchard,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_00000000000000000025_0,17,0,83,55m,2021-09-21 12:00:00,"{""type"":""Point"",""coordinates"":[146.65452,-43.09502]}",Warra,2013-03-05 15:00:00,Eucalyptus obliqua tall forest,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_00000000000000000001_0,47,47,6,6.5m,2025-01-28 10:00:00,"{""type"":""Point"",""coordinates"":[133.249,-22.282999999999998]}",AliceSpringsMulga,2010-09-03 00:00:00,Canopy + three types of understorey (vegetation1-4),2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_00000000000000000022_0,47,47,6,6.5m,2022-01-17 23:30:00,"{""type"":""Point"",""coordinates"":[133.249,-22.282999999999998]}",TiTreeEast,2012-07-18 00:00:00,Canopy + three types of understorey (vegetation1-4),2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_00000000000000000011_0,55,6,39,6.8m,2024-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[115.71377000000003,-31.376351000000007]}",Gingin,2011-10-13 14:00:00,Banksia woodland,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_00000000000000000020_0,63,4,33,8m,2025-01-17 00:00:00,"{""type"":""Point"",""coordinates"":[148.43585,-36.375649]}",SnowGum,2023-12-27 15:30:00,Sub-alpine woodland,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06_0000000000000000001a_0,58,39,3,variable,2013-07-21 23:30:00,"{""type"":""Point"",""coordinates"":[132.477567,-14.563638999999997]}",RedDirtMelonFarm,2011-09-23 09:00:00,Woody savannah then cleared,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_0000000000000000000b_0,45,1,54,+6m,2021-07-07 12:00:00,"{""type"":""Point"",""coordinates"":[141.616472,-37.882694]}",DigbyPlantation,2018-01-01 00:30:00,Eucalyptus globulus (blue gum),2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_00000000000000000010_0,91,1,8,0.05m,2021-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[141.960897,-37.390033]}",GatumPasture,2015-02-09 00:30:00,Phalaris and Subterranean Clover,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_00000000000000000019_0,81,0,19,0.1 m,2011-01-01 00:00:00,"{""type"":""Point"",""coordinates"":[142.81,-38.525000000000006]}",Otway,2007-08-11 00:00:00,"Pasture, grazed",2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_0000000000000000000c_0,67,27,6,0.15m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[132.3706,-15.258800000000006]}",DryRiver,2009-10-25 15:00:00,Woodland savanna,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_0000000000000000001f_0,58,7,35,0.1m,2024-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[147.0875,-42.09055600000001]}",SilverPlains,2019-12-05 10:00:00,Species rich highland grassland/sedgeland,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_0000000000000000000d_0,70,24,6,0.2-0.6m,2013-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[148.4746,-23.85872]}",Emerald,2011-06-10 00:30:00,Mallee and crop,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_00000000000000000002_0,66,9,25,0.3m,2022-06-20 23:30:00,"{""type"":""Point"",""coordinates"":[147.32083300000002,-36.862222]}",AlpinePeatland,2017-04-12 18:30:00,,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_0000000000000000001c_0,92,0,8,0.4m,2017-07-12 17:30:00,"{""type"":""Point"",""coordinates"":[145.576,-36.656]}",RiggsCreek,2011-01-01 00:30:00,Pasture,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_0000000000000000002a_0,76,10,14,0.5 m,2025-01-01 00:00:00,"{""type"":""Point"",""coordinates"":[150.734864,-33.613469]}",YarramundiControl,2019-10-22 15:30:00,"pasture, unirrigated",2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_0000000000000000002b_0,71,9,20,0.5 m,2024-12-29 12:00:00,"{""type"":""Point"",""coordinates"":[150.763284,-33.620812]}",YarramundiIrrigated,2019-10-15 09:30:00,"pasture, irrigated",2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_00000000000000000029_0,59,37,4,0.50,2025-01-28 03:00:00,"{""type"":""Point"",""coordinates"":[146.2908,-34.9878]}",Yanco,2012-10-24 14:00:00,Pasture,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_00000000000000000015_0,30,70,0,0.50m,2024-07-01 00:00:00,"{""type"":""Point"",""coordinates"":[144.31041571964502,-23.52326576449729]}",LongreachMitchellGrassRangeland,2018-10-09 12:00:00,Mitchell Grass,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_00000000000000000009_0,94,1,5,0.5m,2013-09-08 13:30:00,"{""type"":""Point"",""coordinates"":[131.3181,-14.063299999999998]}",DalyPasture,2008-01-01 00:00:00,Tropical improved pasture,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_0000000000000000000f_0,88,7,5,0.5m,2008-10-31 17:30:00,"{""type"":""Point"",""coordinates"":[131.3072,-12.5452]}",FoggDam,2006-02-07 00:00:00,Ephemeral tropical wetland,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_00000000000000000017_0,61,30,9,0.5m,2025-01-17 00:00:00,"{""type"":""Point"",""coordinates"":[150.02,-30.543000000000006]}",MyallValeA,2023-11-29 10:00:00,,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_00000000000000000018_0,62,30,8,0.5m,2025-01-17 00:00:00,"{""type"":""Point"",""coordinates"":[150.09,-30.697000000000006]}",MyallValeB,2023-11-28 13:30:00,,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_0000000000000000001e_0,72,10,18,0.5m,2017-12-31 14:30:00,"{""type"":""Point"",""coordinates"":[152.87778,-27.388059999999996]}",SamfordEcologicalResearchFacility,2010-06-02 12:00:00,pasture,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_00000000000000000021_0,74,24,2,0.5m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[133.3502,-17.1507]}",SturtPlains,2008-08-28 11:00:00,Mitchell Grasslands,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_00000000000000000026_0,85,4,11,0.5m,2025-01-17 00:00:00,"{""type"":""Point"",""coordinates"":[148.9843,-32.5727]}",Wellington,2023-09-27 12:30:00,Pasture,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_00000000000000000024_0,19,0,81,100m,2008-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[145.1878,-37.4259]}",WallabyCreek,2005-08-25 12:30:00,Mountain Ash,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_00000000000000000006_0,61,2,37,12.0m,2019-11-11 13:30:00,"{""type"":""Point"",""coordinates"":[116.237,-33.42]}",Collie,2017-08-04 00:30:00,Dry schlerophyll woodland,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_0000000000000000000e_0,72,26,2,12m,2025-01-17 00:00:00,"{""type"":""Point"",""coordinates"":[146.189138,-19.887285]}",Fletcherview,2022-01-22 22:00:00,Semi-arid savanna,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_00000000000000000003_0,59,4,37,13.0m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[116.93855900000003,-32.477093]}",Boyagin,2017-10-20 13:00:00,Dry schlerophyll woodland,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_00000000000000000000_0,94,1,5,16.4m,2009-05-24 06:00:00,"{""type"":""Point"",""coordinates"":[131.1178,-13.076900000000002]}",AdelaideRiver,2007-10-17 11:30:00,Woody Savanna,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_0000000000000000000a_0,82,9,9,16.4m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[131.3881,-14.159200000000002]}",DalyUncleared,2008-01-01 00:00:00,Woody Savanna,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_00000000000000000013_0,80,5,15,16m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[131.15005,-12.4952]}",HowardSprings,2002-01-01 06:00:00,Woody savanna,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_00000000000000000014_0,73,6,21,16m,2025-01-17 00:00:00,"{""type"":""Point"",""coordinates"":[130.7945459,-13.179041779999999]}",Litchfield,2015-06-23 13:00:00,Woody savanna,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_00000000000000000012_0,70,22,8,18,2024-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[120.65416666666667,-30.191400000000005]}",GreatWesternWoodlands,2013-01-01 15:30:00,sparse eucalypt woodland,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_0000000000000000001b_0,87,6,7,1m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[116.966827,-32.506102]}",Ridgefield,2015-03-29 05:00:00,Wheat,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_00000000000000000028_0,25,0,75,23 m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[144.094046,-37.422506]}",WombatStateForest,2024-05-08 14:30:00,dry sclerophyll eucalypt forest,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_00000000000000000008_0,60,2,38,24 m,2025-01-01 00:00:00,"{""type"":""Point"",""coordinates"":[150.723611,-33.615278]}",CumberlandPlain,2014-01-01 00:30:00,Dry sclerophyll forest,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_00000000000000000005_0,25,1,74,25m,2018-11-02 12:00:00,"{""type"":""Point"",""coordinates"":[145.446922,-16.103219]}",CapeTribulation,2010-01-01 00:00:00,lowland complex mesophyll vine forest,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_00000000000000000007_0,30,1,69,26m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[145.42715,-16.238189000000002]}",CowBay,2009-01-01 09:00:00,lowland complex mesophyll vine forest,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_00000000000000000027_0,64,6,30,28.0m,2023-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[145.0294,-36.6732]}",Whroo,2011-12-01 13:30:00,Dry schlerophyll woodland,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_0000000000000000001d_0,19,6,75,28m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[145.6301375,-17.11746943]}",RobsonCreek,2013-08-01 17:30:00,"Regional Ecosystem (RE) 7.3.36a, complex mesophyll vine forest",2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_00000000000000000004_0,70,28,2,3m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[140.5877,-34.002700000000004]}",CalperumChowilla,2010-07-30 11:00:00,Mallee,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_00000000000000000023_0,26,0,74,40 m,2022-12-03 18:00:00,"{""type"":""Point"",""coordinates"":[148.1516,-35.6566]}",Tumbarumba,2002-01-07 16:00:00,wet sclerophyll forest,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_00000000000000000016_0,71,1,28,5.5m (Stevens et al. 2012),2009-06-09 10:30:00,"{""type"":""Point"",""coordinates"":[140.65512,-34.47035]}",Loxton,2008-08-19 17:00:00,Almond orchard,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_00000000000000000025_0,8,9,83,55m,2021-09-21 12:00:00,"{""type"":""Point"",""coordinates"":[146.65452,-43.09502]}",Warra,2013-03-05 15:00:00,Eucalyptus obliqua tall forest,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_00000000000000000001_0,56,37,7,6.5m,2025-01-28 10:00:00,"{""type"":""Point"",""coordinates"":[133.249,-22.282999999999998]}",AliceSpringsMulga,2010-09-03 00:00:00,Canopy + three types of understorey (vegetation1-4),2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_00000000000000000022_0,56,37,7,6.5m,2022-01-17 23:30:00,"{""type"":""Point"",""coordinates"":[133.249,-22.282999999999998]}",TiTreeEast,2012-07-18 00:00:00,Canopy + three types of understorey (vegetation1-4),2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_00000000000000000011_0,60,7,33,6.8m,2024-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[115.71377000000003,-31.376351000000007]}",Gingin,2011-10-13 14:00:00,Banksia woodland,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_00000000000000000020_0,53,5,42,8m,2025-01-17 00:00:00,"{""type"":""Point"",""coordinates"":[148.43585,-36.375649]}",SnowGum,2023-12-27 15:30:00,Sub-alpine woodland,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06_0000000000000000001a_0,94,3,3,variable,2013-07-21 23:30:00,"{""type"":""Point"",""coordinates"":[132.477567,-14.563638999999997]}",RedDirtMelonFarm,2011-09-23 09:00:00,Woody savannah then cleared,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_03_06_0000000000000000000b_0,51,4,45,+6m,2021-07-07 12:00:00,"{""type"":""Point"",""coordinates"":[141.616472,-37.882694]}",DigbyPlantation,2018-01-01 00:30:00,Eucalyptus globulus (blue gum),2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_03_06_00000000000000000010_0,86,2,12,0.05m,2021-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[141.960897,-37.390033]}",GatumPasture,2015-02-09 00:30:00,Phalaris and Subterranean Clover,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_03_06_00000000000000000019_0,85,0,15,0.1 m,2011-01-01 00:00:00,"{""type"":""Point"",""coordinates"":[142.81,-38.525000000000006]}",Otway,2007-08-11 00:00:00,"Pasture, grazed",2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_03_06_0000000000000000000c_0,82,14,4,0.15m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[132.3706,-15.258800000000006]}",DryRiver,2009-10-25 15:00:00,Woodland savanna,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_03_06_0000000000000000001f_0,61,4,35,0.1m,2024-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[147.0875,-42.09055600000001]}",SilverPlains,2019-12-05 10:00:00,Species rich highland grassland/sedgeland,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_03_06_0000000000000000000d_0,54,42,4,0.2-0.6m,2013-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[148.4746,-23.85872]}",Emerald,2011-06-10 00:30:00,Mallee and crop,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_03_06_00000000000000000002_0,78,6,16,0.3m,2022-06-20 23:30:00,"{""type"":""Point"",""coordinates"":[147.32083300000002,-36.862222]}",AlpinePeatland,2017-04-12 18:30:00,,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_03_06_0000000000000000001c_0,86,6,8,0.4m,2017-07-12 17:30:00,"{""type"":""Point"",""coordinates"":[145.576,-36.656]}",RiggsCreek,2011-01-01 00:30:00,Pasture,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_03_06_0000000000000000002a_0,87,4,9,0.5 m,2025-01-01 00:00:00,"{""type"":""Point"",""coordinates"":[150.734864,-33.613469]}",YarramundiControl,2019-10-22 15:30:00,"pasture, unirrigated",2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_03_06_0000000000000000002b_0,82,6,12,0.5 m,2024-12-29 12:00:00,"{""type"":""Point"",""coordinates"":[150.763284,-33.620812]}",YarramundiIrrigated,2019-10-15 09:30:00,"pasture, irrigated",2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_03_06_00000000000000000029_0,70,23,7,0.50,2025-01-28 03:00:00,"{""type"":""Point"",""coordinates"":[146.2908,-34.9878]}",Yanco,2012-10-24 14:00:00,Pasture,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_03_06_00000000000000000015_0,24,76,0,0.50m,2024-07-01 00:00:00,"{""type"":""Point"",""coordinates"":[144.31041571964502,-23.52326576449729]}",LongreachMitchellGrassRangeland,2018-10-09 12:00:00,Mitchell Grass,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_03_06_00000000000000000009_0,94,2,4,0.5m,2013-09-08 13:30:00,"{""type"":""Point"",""coordinates"":[131.3181,-14.063299999999998]}",DalyPasture,2008-01-01 00:00:00,Tropical improved pasture,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_03_06_0000000000000000000f_0,72,13,15,0.5m,2008-10-31 17:30:00,"{""type"":""Point"",""coordinates"":[131.3072,-12.5452]}",FoggDam,2006-02-07 00:00:00,Ephemeral tropical wetland,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
