siteID,original_site,lat,lon,climate,pft_0,pft,IGBP,soil_tex_id,Soil_TEX,swc_i,Zm,flux_data_starts,flux_data_ends,nc_file_path,lai_fpar_file_path,frac_V,frac_T,frac_H,frac_B,frac_sum,MAXSMC,DRYSMC,BB,SATPSI,SATDK
AU-Cum,CumberlandPlain,-33.61528,150.72361,Te,BL,BF-te,EBF,7,SANDY CLAY LOAM,"Sws_20cm, Sws_20cma,Sws_20cmb",-0.2,2014-01-01 00:30:00,2025-01-01 00:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/CumberlandPlain_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/CumberlandPlain_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.971,0.51,0.461,0.0289999999999999,1.0,0.413265306,0.111584,6.828195,0.020039,6.95e-06
AU-Ctr,CapeTribulation,-16.10322,145.44692,Tr,BL,BF-tr,EBF,7,SANDY CLAY LOAM,Sws ,-0.1,2010-01-01 00:00:00,2018-11-02 12:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/CapeTribulation_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/CapeTribulation_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.9755555555555556,0.7488888888888888,0.2266666666666666,0.0244444444444444,1.0,0.536885298,0.187219,6.774962,0.121566,6.08e-06
AU-Cow,CowBay,-16.23819,145.42716,Tr,BL,BF-tr,EBF,7,SANDY CLAY LOAM,Sws,-0.15,2009-01-01 09:00:00,2025-02-02 00:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/CowBay_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/CowBay_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.9653333333333334,0.716,0.2493333333333333,0.0346666666666666,1.0,0.540555377,0.20778,7.392355,0.130316,4.77e-06
AU-Whr,Whroo,-36.6732,145.0294,Ar,M,BF-te,WSA,7,SANDY CLAY LOAM,Sws,-0.1,2011-12-01 13:30:00,2023-12-31 23:30:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/Whroo_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/Whroo_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.9676923076923076,0.4315384615384615,0.5361538461538461,0.0323076923076923,1.0,0.439532943,0.164676,7.837389,0.069665,3.39e-06
AU-Rob,RobsonCreek,-17.11747,145.63014,Tr,BL,BF-tr,EBF,7,SANDY CLAY LOAM,Sws,-0.15,2013-08-01 17:30:00,2025-02-02 00:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/RobsonCreek_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/RobsonCreek_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.968181818181818,0.7445454545454545,0.2236363636363636,0.0318181818181818,1.0,0.481691784,0.231217,9.159166,0.184114,1.5e-06
AU-Tum,Tumbarumba,-35.6566,148.15159,Te,BL,BF-te,ENF,9,CLAY LOAM,Sws,-0.3,2002-01-07 16:00:00,2022-12-03 18:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/Tumbarumba_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/Tumbarumba_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.991904761904762,0.76,0.2319047619047619,0.008095238095238,1.0,0.504624365,0.207652,7.56825,0.184508,2.84e-06
AU-Lox,Loxton,-34.47035,140.65512,Ar,H,G-C3,GRA,3,SANDY LOAM,Sws_045,-0.45,2008-08-19 17:00:00,2009-06-09 10:30:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/Loxton_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/Loxton_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.955,0.135,0.82,0.045,1.0,0.389995117,0.120881,8.464023,0.007567,5.21e-06
AU-War,Warra,-43.09502,146.65452,Te,BL,BF-te,EBF,12,CLAY,Sws,-0.3,2013-03-05 15:00:00,2021-09-21 12:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/Warra_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/Warra_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.9422222222222222,0.7744444444444444,0.1677777777777777,0.0577777777777777,1.0,0.512488196,0.259832,9.479146,0.244511,1.27e-06
AU-ASM,AliceSpringsMulga,-22.283,133.24899,Ar,M,BF-te,CSH,3,SANDY LOAM,Sws,-0.1,2010-09-03 00:00:00,2025-01-28 10:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/AliceSpringsMulga1_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/AliceSpringsMulga_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.5921428571428571,0.0642857142857143,0.5278571428571428,0.4078571428571428,1.0,0.396717387,0.09833,7.176586,0.006871,7.94e-06
AU-TTE,TiTreeEast,-22.287,133.64,Ar,M,BF-te,CSH,3,SANDY LOAM,Sws,-0.1,2012-07-18 00:00:00,2022-01-17 23:30:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/TiTreeEast_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/TiTreeEast_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.5881818181818181,0.0609090909090909,0.5272727272727272,0.4118181818181818,1.0,0.396717387,0.09833,7.176586,0.006871,7.94e-06
AU-Gin,Gingin,-31.37635,115.71377,Te,M,BF-te,SAV,2,LOAMY SAND,Sws,-0.3,2011-10-13 14:00:00,2024-12-31 23:30:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/Gingin_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/Gingin_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.9253846153846154,0.3092307692307692,0.6161538461538462,0.0746153846153846,1.0,0.433084228,0.074085,6.70895,0.001096,1.77e-05
AU-RDF,RedDirtMelonFarm,-14.56364,132.47757,Tr,M,BF-tr,GRA,2,LOAMY SAND,Sws,-0.05,2011-09-23 09:00:00,2013-07-21 23:30:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/RedDirtMelonFarm_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/RedDirtMelonFarm_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.73,0.04,0.69,0.27,1.0,0.426308849,0.0615,6.981719,0.000206,2.07e-05
